2026-06-10T18:51:51.137Z Arena Live serving http://localhost:8901/  (pid 22193)
2026-06-10T18:52:00.574Z rebuilt (startup) in 9570ms — 1730 fights, 13 cards, 21 board rows, 415 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:52:10.877Z rebuilt (inputs changed) in 9624ms — 1737 fights, 13 cards, 21 board rows, 417 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:52:21.065Z rebuilt (inputs changed) in 9816ms — 1745 fights, 13 cards, 21 board rows, 417 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:52:31.124Z rebuilt (inputs changed) in 9821ms — 1750 fights, 13 cards, 21 board rows, 419 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:52:46.471Z rebuilt (inputs changed) in 10109ms — 1761 fights, 13 cards, 21 board rows, 421 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:53:01.831Z rebuilt (inputs changed) in 10459ms — 1771 fights, 13 cards, 21 board rows, 421 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:53:16.493Z rebuilt (inputs changed) in 10136ms — 1782 fights, 13 cards, 21 board rows, 423 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:53:31.522Z rebuilt (inputs changed) in 10165ms — 1792 fights, 13 cards, 21 board rows, 424 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:53:46.478Z rebuilt (inputs changed) in 10120ms — 1803 fights, 13 cards, 21 board rows, 424 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:54:01.978Z rebuilt (inputs changed) in 10589ms — 1812 fights, 13 cards, 21 board rows, 424 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:54:16.481Z rebuilt (inputs changed) in 10112ms — 1823 fights, 13 cards, 21 board rows, 425 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:54:33.274Z rebuilt (inputs changed) in 11893ms — 1833 fights, 13 cards, 21 board rows, 425 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:54:47.131Z rebuilt (inputs changed) in 10740ms — 1844 fights, 13 cards, 21 board rows, 425 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:55:02.512Z rebuilt (inputs changed) in 11107ms — 1853 fights, 13 cards, 21 board rows, 425 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:55:17.445Z rebuilt (inputs changed) in 11058ms — 1865 fights, 13 cards, 21 board rows, 426 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:55:32.025Z rebuilt (inputs changed) in 10634ms — 1875 fights, 13 cards, 21 board rows, 426 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:55:49.664Z rebuilt (inputs changed) in 13251ms — 1886 fights, 13 cards, 21 board rows, 426 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:56:02.950Z rebuilt (inputs changed) in 11554ms — 1895 fights, 13 cards, 21 board rows, 426 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:56:20.465Z rebuilt (inputs changed) in 14048ms — 1906 fights, 13 cards, 21 board rows, 426 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:56:36.035Z rebuilt (inputs changed) in 14631ms — 1914 fights, 13 cards, 21 board rows, 427 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:56:50.060Z rebuilt (inputs changed) in 13655ms — 1925 fights, 13 cards, 21 board rows, 430 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:57:04.571Z rebuilt (inputs changed) in 13162ms — 1934 fights, 13 cards, 21 board rows, 431 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:57:19.046Z rebuilt (inputs changed) in 12617ms — 1946 fights, 13 cards, 21 board rows, 433 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:57:33.702Z rebuilt (inputs changed) in 12267ms — 1956 fights, 13 cards, 21 board rows, 435 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
2026-06-10T18:57:48.795Z rebuilt (inputs changed) in 12374ms — 1968 fights, 13 cards, 21 board rows, 436 rank snapshots, 17 doctrines, 30 graph nodes, 0 warnings
