2026-06-10T05:39:01.184Z rebuilt (startup) in 395ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:39:01.189Z Arena Live serving http://localhost:8901/  (pid 62695)
2026-06-10T05:39:21.563Z rebuilt (inputs changed) in 367ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:39:26.552Z rebuilt (inputs changed) in 354ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:39:31.567Z rebuilt (inputs changed) in 371ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:39:36.553Z rebuilt (inputs changed) in 355ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:39:46.574Z rebuilt (inputs changed) in 372ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:40:51.593Z rebuilt (inputs changed) in 370ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:41:06.616Z rebuilt (inputs changed) in 384ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:41:11.604Z rebuilt (inputs changed) in 372ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:41:21.622Z rebuilt (inputs changed) in 392ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:41:31.610Z rebuilt (inputs changed) in 376ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:42:06.599Z rebuilt (inputs changed) in 361ms — 46 fights, 30 graph nodes, 0 warnings
2026-06-10T05:42:16.603Z rebuilt (inputs changed) in 367ms — 47 fights, 30 graph nodes, 0 warnings
2026-06-10T05:42:21.597Z rebuilt (inputs changed) in 357ms — 48 fights, 30 graph nodes, 0 warnings
2026-06-10T05:42:51.643Z rebuilt (inputs changed) in 399ms — 48 fights, 30 graph nodes, 0 warnings
2026-06-10T05:43:01.632Z rebuilt (inputs changed) in 377ms — 48 fights, 30 graph nodes, 0 warnings
2026-06-10T05:43:11.655Z rebuilt (inputs changed) in 397ms — 48 fights, 30 graph nodes, 0 warnings
2026-06-10T05:43:21.621Z rebuilt (inputs changed) in 368ms — 48 fights, 30 graph nodes, 0 warnings
2026-06-10T05:43:36.632Z rebuilt (inputs changed) in 377ms — 49 fights, 30 graph nodes, 0 warnings
2026-06-10T05:44:41.664Z rebuilt (periodic) in 384ms — 49 fights, 30 graph nodes, 0 warnings
2026-06-10T05:44:46.661Z rebuilt (inputs changed) in 391ms — 49 fights, 30 graph nodes, 0 warnings
2026-06-10T05:44:57.146Z rebuilt (inputs changed) in 873ms — 50 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:16.789Z rebuilt (inputs changed) in 510ms — 50 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:21.665Z rebuilt (inputs changed) in 387ms — 51 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:26.661Z rebuilt (inputs changed) in 383ms — 53 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:31.703Z rebuilt (inputs changed) in 423ms — 54 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:36.705Z rebuilt (inputs changed) in 425ms — 55 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:41.699Z rebuilt (inputs changed) in 418ms — 57 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:46.706Z rebuilt (inputs changed) in 425ms — 58 fights, 30 graph nodes, 0 warnings
2026-06-10T05:45:51.715Z rebuilt (inputs changed) in 432ms — 60 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:06.723Z rebuilt (inputs changed) in 437ms — 61 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:11.718Z rebuilt (inputs changed) in 432ms — 62 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:16.738Z rebuilt (inputs changed) in 450ms — 64 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:21.732Z rebuilt (inputs changed) in 443ms — 65 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:26.738Z rebuilt (inputs changed) in 449ms — 66 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:31.771Z rebuilt (inputs changed) in 480ms — 68 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:36.782Z rebuilt (inputs changed) in 461ms — 69 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:51.947Z rebuilt (inputs changed) in 652ms — 70 fights, 30 graph nodes, 0 warnings
2026-06-10T05:46:56.750Z rebuilt (inputs changed) in 453ms — 71 fights, 30 graph nodes, 0 warnings
2026-06-10T05:47:01.764Z rebuilt (inputs changed) in 466ms — 73 fights, 30 graph nodes, 0 warnings
2026-06-10T05:47:16.782Z rebuilt (inputs changed) in 469ms — 73 fights, 30 graph nodes, 0 warnings
2026-06-10T05:47:26.773Z rebuilt (inputs changed) in 472ms — 73 fights, 30 graph nodes, 0 warnings
2026-06-10T05:47:56.782Z rebuilt (inputs changed) in 476ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:11.800Z rebuilt (inputs changed) in 491ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:16.783Z rebuilt (inputs changed) in 473ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:26.788Z rebuilt (inputs changed) in 475ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:36.815Z rebuilt (inputs changed) in 498ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:51.995Z rebuilt (inputs changed) in 676ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:48:56.810Z rebuilt (inputs changed) in 490ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:50:02.027Z rebuilt (periodic) in 695ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:50:17.014Z rebuilt (inputs changed) in 674ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:50:37.022Z rebuilt (inputs changed) in 682ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:50:52.001Z rebuilt (inputs changed) in 661ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:51:01.856Z rebuilt (inputs changed) in 512ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:51:22.013Z rebuilt (inputs changed) in 660ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:52:12.059Z rebuilt (inputs changed) in 692ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:52:27.074Z rebuilt (inputs changed) in 700ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:52:42.110Z rebuilt (inputs changed) in 734ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:52:57.052Z rebuilt (inputs changed) in 674ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:01.871Z rebuilt (inputs changed) in 486ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:06.855Z rebuilt (inputs changed) in 481ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:11.960Z rebuilt (inputs changed) in 576ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:27.050Z rebuilt (inputs changed) in 672ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:42.032Z rebuilt (inputs changed) in 656ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:53:57.028Z rebuilt (inputs changed) in 651ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:54:01.848Z rebuilt (inputs changed) in 472ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:54:12.108Z rebuilt (inputs changed) in 733ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:54:32.052Z rebuilt (inputs changed) in 670ms — 74 fights, 30 graph nodes, 0 warnings
2026-06-10T05:54:42.015Z rebuilt (inputs changed) in 632ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:54:57.043Z rebuilt (inputs changed) in 656ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:01.874Z rebuilt (inputs changed) in 487ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:16.859Z rebuilt (inputs changed) in 468ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:21.876Z rebuilt (inputs changed) in 482ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:31.882Z rebuilt (inputs changed) in 486ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:46.884Z rebuilt (inputs changed) in 481ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:51.896Z rebuilt (inputs changed) in 494ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:55:56.873Z rebuilt (inputs changed) in 474ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:01.878Z rebuilt (inputs changed) in 473ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:11.878Z rebuilt (inputs changed) in 477ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:16.878Z rebuilt (inputs changed) in 476ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:26.934Z rebuilt (inputs changed) in 510ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:31.883Z rebuilt (inputs changed) in 476ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:36.887Z rebuilt (inputs changed) in 480ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:41.873Z rebuilt (inputs changed) in 466ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:46.887Z rebuilt (inputs changed) in 478ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:56:56.894Z rebuilt (inputs changed) in 483ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:01.890Z rebuilt (inputs changed) in 476ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:06.904Z rebuilt (inputs changed) in 485ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:16.892Z rebuilt (inputs changed) in 476ms — 75 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:21.900Z rebuilt (inputs changed) in 483ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:31.943Z rebuilt (inputs changed) in 523ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:57:46.915Z rebuilt (inputs changed) in 493ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:01.907Z rebuilt (inputs changed) in 482ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:06.907Z rebuilt (inputs changed) in 480ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:11.903Z rebuilt (inputs changed) in 474ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:16.899Z rebuilt (inputs changed) in 470ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:21.914Z rebuilt (inputs changed) in 485ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:26.941Z rebuilt (inputs changed) in 504ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:36.913Z rebuilt (inputs changed) in 481ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:46.919Z rebuilt (inputs changed) in 485ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:58:51.924Z rebuilt (inputs changed) in 488ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:59:06.911Z rebuilt (inputs changed) in 472ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:59:21.918Z rebuilt (inputs changed) in 478ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:59:36.949Z rebuilt (inputs changed) in 492ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T05:59:51.956Z rebuilt (inputs changed) in 493ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:00:06.957Z rebuilt (inputs changed) in 484ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:00:22.206Z rebuilt (inputs changed) in 738ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:00:36.957Z rebuilt (inputs changed) in 488ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:00:52.171Z rebuilt (inputs changed) in 699ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:01:06.986Z rebuilt (inputs changed) in 510ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:01:21.960Z rebuilt (inputs changed) in 482ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:01:26.955Z rebuilt (inputs changed) in 477ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:01:41.951Z rebuilt (inputs changed) in 471ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:01:56.959Z rebuilt (inputs changed) in 477ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:11.977Z rebuilt (inputs changed) in 490ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:16.967Z rebuilt (inputs changed) in 478ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:21.980Z rebuilt (inputs changed) in 492ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:26.974Z rebuilt (inputs changed) in 485ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:41.965Z rebuilt (inputs changed) in 472ms — 76 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:52.036Z rebuilt (inputs changed) in 541ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:02:56.983Z rebuilt (inputs changed) in 487ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:03:01.985Z rebuilt (inputs changed) in 488ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:03:12.014Z rebuilt (inputs changed) in 514ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:03:27.015Z rebuilt (inputs changed) in 512ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:03:42.181Z rebuilt (inputs changed) in 669ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:03:57.240Z rebuilt (inputs changed) in 731ms — 77 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:02.016Z rebuilt (inputs changed) in 506ms — 78 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:12.159Z rebuilt (inputs changed) in 649ms — 78 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:17.056Z rebuilt (inputs changed) in 542ms — 80 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:32.415Z rebuilt (inputs changed) in 897ms — 80 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:37.056Z rebuilt (inputs changed) in 537ms — 81 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:47.388Z rebuilt (inputs changed) in 870ms — 81 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:52.126Z rebuilt (inputs changed) in 606ms — 82 fights, 30 graph nodes, 0 warnings
2026-06-10T06:04:57.049Z rebuilt (inputs changed) in 528ms — 83 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:02.075Z rebuilt (inputs changed) in 552ms — 83 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:12.123Z rebuilt (inputs changed) in 600ms — 84 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:17.081Z rebuilt (inputs changed) in 554ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:32.289Z rebuilt (inputs changed) in 752ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:47.267Z rebuilt (inputs changed) in 716ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:05:52.081Z rebuilt (inputs changed) in 540ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:02.073Z rebuilt (inputs changed) in 524ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:07.072Z rebuilt (inputs changed) in 524ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:12.067Z rebuilt (inputs changed) in 528ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:17.060Z rebuilt (inputs changed) in 522ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:22.164Z rebuilt (inputs changed) in 629ms — 85 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:27.063Z rebuilt (inputs changed) in 529ms — 87 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:32.088Z rebuilt (inputs changed) in 547ms — 88 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:47.107Z rebuilt (inputs changed) in 564ms — 88 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:52.061Z rebuilt (inputs changed) in 523ms — 89 fights, 30 graph nodes, 0 warnings
2026-06-10T06:06:57.109Z rebuilt (inputs changed) in 548ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:02.089Z rebuilt (inputs changed) in 549ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:07.099Z rebuilt (inputs changed) in 552ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:17.302Z rebuilt (inputs changed) in 757ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:22.102Z rebuilt (inputs changed) in 545ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:32.305Z rebuilt (inputs changed) in 745ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:37.092Z rebuilt (inputs changed) in 544ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:47.218Z rebuilt (inputs changed) in 667ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:52.086Z rebuilt (inputs changed) in 535ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:07:57.116Z rebuilt (inputs changed) in 562ms — 90 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:02.093Z rebuilt (inputs changed) in 541ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:07.129Z rebuilt (inputs changed) in 566ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:22.125Z rebuilt (inputs changed) in 547ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:27.121Z rebuilt (inputs changed) in 548ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:37.124Z rebuilt (inputs changed) in 563ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:42.114Z rebuilt (inputs changed) in 551ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:47.113Z rebuilt (inputs changed) in 551ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:52.100Z rebuilt (inputs changed) in 538ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:08:57.132Z rebuilt (inputs changed) in 553ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:02.118Z rebuilt (inputs changed) in 553ms — 92 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:07.172Z rebuilt (inputs changed) in 606ms — 93 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:12.139Z rebuilt (inputs changed) in 573ms — 94 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:17.152Z rebuilt (inputs changed) in 570ms — 95 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:22.150Z rebuilt (inputs changed) in 576ms — 95 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:32.208Z rebuilt (inputs changed) in 638ms — 95 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:37.133Z rebuilt (inputs changed) in 561ms — 95 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:42.130Z rebuilt (inputs changed) in 557ms — 96 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:47.159Z rebuilt (inputs changed) in 578ms — 97 fights, 30 graph nodes, 0 warnings
2026-06-10T06:09:57.163Z rebuilt (inputs changed) in 580ms — 97 fights, 30 graph nodes, 0 warnings
